MWC04 ,  MWC05 ,  X2sol ,  GATS1p ,  EEig10d ,  BELe4 ,  GGI3 ,  SP02 ,  SP08 ,  QXXm ,  V1
5.252 , 6.028 , 3.534 , 0 , 0 , 0.799 , 0.25 , 3.631 , 3.709 , 8.703 ,  affinity to liver
5.645 , 6.447 , 3.773 , 0.571 , -1.446 , 0.288 , 0.75 , 3.964 , 4.427 , 14.912 ,  affinity to liver
4.394 , 5.081 , 1.768 , 1 , 0 , 0 , 0 , 2.09 , 0.034 , 4.58 ,  affinity to liver
4.812 , 5.451 , 3.121 , 0 , 0 , 1.021 , 0.125 , 4.88 , 8.035 , 5.116 ,  affinity to blood
4.796 , 5.434 , 3.243 , 0 , 0 , 0.771 , 0.25 , 4.28 , 6.098 , 7.99 ,  affinity to blood
5.056 , 5.687 , 4.159 , 0 , 0 , 0.761 , 0.75 , 3.353 , 2.181 , 13.97 ,  affinity to blood
4.575 , 5.263 , 2.121 , 0 , 0 , 0.039 , 0 , 2.627 , 0.191 , 9.651 ,  gray zone
4.673 , 5.303 , 2.768 , 0 , 0 , 0.877 , 0.125 , 4.547 , 6.954 , 4.583 ,  gray zone
4.812 , 5.451 , 3.121 , 0 , 0 , 1 , 0.125 , 4.862 , 7.926 , 5.229 ,  gray zone
4.007 , 4.575 , 1.802 , 0 , 0 , 0 , 0 , 2.446 , 0.426 , 4.928 ,  affinity to liver
1.099 , 1.099 , 0 , 1 , 0 , 0 , 0 , 0.922 , 0.002 , 0.281 ,  affinity to liver
4.394 , 4.86 , 6.75 , 2.5 , 0 , 0 , 0 , 2.594 , 0.297 , 24.388 ,  affinity to liver
2.565 , 2.833 , 1.061 , 0.75 , 0 , 0 , 0 , 1.653 , 0.048 , 5.07 ,  affinity to liver
3.296 , 3.761 , 1.5 , 1 , 0 , 0 , 0 , 2.273 , 0.268 , 11.351 ,  affinity to liver
4.394 , 4.86 , 5.625 , 1.25 , 0 , 0 , 0 , 2.537 , 0.244 , 24.699 ,  affinity to liver
3.611 , 4.007 , 2.309 , 0.667 , 0 , 0 , 0 , 2.07 , 0.111 , 6.165 ,  affinity to liver
2.565 , 2.833 , 2.121 , 1.063 , 0 , 0 , 0 , 1.847 , 0.123 , 6.223 ,  affinity to liver
4.466 , 5.142 , 4.598 , 1.5 , 0 , 0 , 0 , 2.951 , 1.392 , 24.212 ,  affinity to liver
2.565 , 2.833 , 1.414 , 0.75 , 0 , 0 , 0 , 1.692 , 0.07 , 4.902 ,  affinity to liver
3.761 , 4.29 , 1.354 , 0.625 , 0 , 0 , 0.125 , 2.838 , 1.676 , 2.429 ,  affinity to liver
4.654 , 5.263 , 3.023 , 0.583 , 0 , 0.63 , 0.5 , 3.128 , 1.989 , 10.282 ,  affinity to liver
4.489 , 5.106 , 2.536 , 1.05 , 0 , 0.2 , 0.25 , 3.382 , 3.147 , 6.262 ,  affinity to liver
4.796 , 5.434 , 3.243 , 0.964 , 0 , 0.646 , 0.25 , 4.201 , 5.818 , 7.322 ,  affinity to liver
3.761 , 4.29 , 1.354 , 1.25 , 0 , 0.164 , 0.125 , 2.766 , 1.406 , 2.459 ,  affinity to liver
3.761 , 4.29 , 1.354 , 1.25 , 0 , 0 , 0.125 , 2.723 , 1.332 , 1.361 ,  affinity to liver
5.389 , 6.155 , 1.604 , 1.147 , 0 , 0 , 0.75 , 3.665 , 3.082 , 25.823 ,  affinity to liver
5.361 , 6.111 , 2.295 , 1.147 , 0 , 0 , 0.625 , 3.706 , 3.042 , 28.015 ,  affinity to liver
4.29 , 4.875 , 2.183 , 0.263 , 0 , 0 , 0.25 , 2.922 , 1.649 , 4.421 ,  affinity to liver
4.466 , 5.142 , 2.488 , 0.263 , 0 , 0 , 0 , 2.631 , 0.554 , 8.533 ,  affinity to liver
4.89 , 5.617 , 2.743 , 0 , 0 , 0.424 , 0.188 , 2.927 , 1.011 , 7.677 ,  affinity to liver
5.142 , 5.889 , 3.377 , 0 , 0 , 0.498 , 0.5 , 3.221 , 1.925 , 12.027 ,  affinity to liver
4.89 , 5.617 , 3.151 , 0.5 , 0 , 0 , 0.188 , 2.987 , 1.262 , 7.448 ,  affinity to liver
