4,543;17,61;-0,162;140,3;4,68;15,98;28,84;17,5;0,53;0,96;0,59;1,75;30;10;29;9;10;7;0,241;20;10;34;42;32;38;5,545;1,667;1,741;0,425;20;34,733;33;0,451;604;694;489;636;11,053;5,06;165;3,667;12,569;19,29;165;-15,1;4,086;0;495;14,142;165
1,415;6,28;-0,083;54,1;5,41;5,79;9,65;10;0,58;0,97;0,63;2,5;10;4;9;3;5;1;0,111;6;4;10;26;8;21;1,386;1,333;1,414;0,849;8;6,356;5;0,527;38;74;19;57;3,161;1,893;10;1,667;3,611;4,333;10;-2,499;1,707;0;15;3,833;10
1,861;8,05;-0,17;68,13;5,24;7,39;12,53;11,67;0,57;0,96;0,62;2,33;13;5;12;4;6;1;0,083;8;5;16;34;14;30;1,792;1,304;1,431;0,747;10;9,757;7,2;0,436;68;114;36;86;4,301;2,804;18;1,8;5,222;6,667;18;-3,489;1,542;0;28;5,667;18
0,477;2,4;0,113;52,03;10,41;2,42;5,79;17,5;0,48;1,16;0,48;5,83;5;3;4;2;2;0;0;2;1;6;102;4;28;0,693;1,2;1,26;1,201;9;2,89;2,667;0,577;16;148;6;126;1,655;1,177;4;1,333;2,25;2,5;4;-1,409;1,333;0;5;2,333;4
0,846;3,38;0,017;50,49;10,1;2,9;5,09;6,11;0,58;1,02;0,68;3,06;5;2;4;1;1;0;0;3;1;2;1,605;1;0,778;0;1;1;0;4,333;0;1;0,707;4;3,383;1;0,778;0;0;1;1;1;1;1;-0,602;1;0;1;1;1
1,073;4,24;-0,012;84,93;16,99;3,6;5,41;9,72;0,72;1,08;0,85;3,24;5;3;4;2;2;0;0;2;1;6;5,21;4;3,111;0,693;1,2;1,26;1,201;6,667;2,89;2,667;0,577;16;13,877;6;4,321;1,655;1,177;4;1,333;2,25;2,5;4;-1,409;1,333;0;5;2,333;4
1,617;5,1;-0,076;119,37;23,87;4,3;5,74;13,67;0,86;1,15;1,02;3,42;5;4;4;3;3;0;0;1;1;12;10,815;9;7;1,099;1,2;1,316;0,954;9;5,927;4,5;0,456;36;31,481;15;10,63;2,894;2,039;9;1,5;3,75;4,5;9;-2,249;1;0;12;4;9
3,585;5,95;-0,137;153,81;30,76;5;6,06;17,69;1;1,21;1,19;3,54;5;5;4;4;4;0;0;0;1;20;18,42;16;12,444;1,386;1,176;1,32;0,849;11,333;9,17;6,4;0,374;64;56,198;28;19,704;3,972;2,884;16;1,6;5,5;7;16;-3,101;0,8;0;22;6;16
1,194;5,14;-0,009;64,52;8,07;4,49;7,97;7,61;0,56;1;0,64;2,54;8;3;7;2;2;0;0;5;2;6;5,605;4;3,556;0,693;1,2;1,26;1,201;6,333;2,89;2,667;0,577;16;14,938;6;5,111;1,655;1,177;4;1,333;2,25;2,5;4;-1,409;1,333;0;5;2,333;4
1,251;6;-0,06;98,96;12,37;5,2;8,3;11,56;0,65;1,04;0,75;2,89;8;4;7;3;3;0;0;4;2;12;11,21;9;7,667;1,099;1,2;1,316;0,954;8,667;5,927;4,5;0,456;36;32,988;15;11,988;2,894;2,039;9;1,5;3,75;4,5;9;-2,249;1;0;12;4;9
1,51;6;-0,077;98,96;12,37;5,2;8,3;11,22;0,65;1,04;0,75;2,81;8;4;7;3;3;0;0;4;2;10;9,21;8;7,111;1,386;1,333;1,414;0,849;8,667;6,356;5;0,527;38;34,543;19;15,148;3,161;1,893;10;1,667;3,611;4,333;10;-2,499;1,707;0;15;3,833;10
2,029;6,86;-0,154;133,4;16,67;5,9;8,62;15,58;0,74;1,08;0,86;3,12;8;5;7;4;4;0;0;3;2;20;18,815;16;13,333;1,386;1,176;1,32;0,849;11;9,17;6,4;0,374;64;58,148;28;21,63;3,972;2,884;16;1,6;5,5;7;16;-3,101;0,8;0;22;6;16
1,955;6,86;-0,068;133,4;16,67;5,9;8,62;15,17;0,74;1,08;0,86;3,03;8;5;7;4;4;0;0;3;2;16;14,815;14;12,222;1,792;1,304;1,431;0,747;11;9,757;7,2;0,436;68;61,259;36;27,951;4,301;2,804;18;1,8;5,222;6,667;18;-3,489;1,542;0;28;5,667;18
2,443;7,72;-0,153;167,84;20,98;6,6;8,95;19,19;0,82;1,12;0,96;3,2;8;6;7;5;5;0;0;2;2;24;22,42;22;18,889;2,079;1,263;1,414;0,693;13,333;13,264;9,333;0,365;106;95,086;57;43,519;5,308;3,677;28;1,867;7,083;9,5;28;-4,434;1,372;0;44;7,833;28
2,399;7,72;-0,117;167,84;20,98;6,6;8,95;19,11;0,82;1,12;0,96;3,19;8;6;7;5;5;0;0;2;2;22;20,42;21;18,333;2,197;1,286;1,442;0,675;13,333;13,483;9,667;0,38;108;96,642;61;46,679;5,395;3,786;29;1,933;6,944;9,333;29;-4,593;1,521;0;47;7,667;29
2,888;8,57;-0,129;202,28;25,28;7,3;9,27;23,14;0,91;1,16;1,07;3,31;8;7;7;6;6;0;0;1;2;30;28,025;30;26;2,485;1,254;1,426;0,634;15,667;17,25;12;0,33;156;139,136;90;68,173;6,367;4,711;42;2;8,917;12,5;42;-5,624;1,435;0;69;10;42
3,376;9,43;-0,051;236,72;29,59;8;9,59;27,17;1;1,2;1,18;3,4;8;8;7;7;7;0;0;0;2;38;35,63;40;34,667;2,773;1,231;1,414;0,601;18;21,241;14,5;0,295;214;190,296;127;95,593;7,313;5,679;58;2,071;11;16;58;-6,727;1,411;0;97;12,5;58
1,718;6,9;-0,101;78,55;7,14;6,09;10,86;9,11;0,55;0,99;0,63;2,28;11;4;10;3;3;0;0;7;3;10;9,605;8;7,556;1,386;1,333;1,414;0,849;8,333;6,356;5;0,527;38;36,272;19;17;3,161;1,893;10;1,667;3,611;4,333;10;-2,499;1,707;0;15;3,833;10
