ALOGP   Sp   Mor29u   MW   AMW   Sv   Se   Ss   Pol   Mv   Me
10 ,50.49 ,0 ,0 ,0.4 ,0.06 ,0.47 ,0.056 ,0 ,0 ,0.13
12 ,56.446 ,0 ,0 ,1.279 ,-0.101 ,0.58 ,0.057 ,0 ,0 ,0.23
8 ,28.544 ,0 ,0 ,1.264 ,-0.053 ,0.136 ,0 ,0 ,0 ,-0.03
10 ,41.793 ,0 ,0 ,1.981 ,0.105 ,0.259 ,0.076 ,0 ,0 ,0.13
12 ,55.977 ,-0.3 ,0 ,2.075 ,0.064 ,0.37 ,0.061 ,0 ,0 ,0.48
14 ,39.351 ,-1.077 ,-1.309 ,1.176 ,0.275 ,0.092 ,0.086 ,0 ,0 ,0.18
18 ,36.265 ,0.761 ,0.51 ,1.232 ,0.48 ,0.018 ,0 ,0 ,0 ,0.36
10 ,28.596 ,0 ,0 ,0.299 ,-0.023 ,0.308 ,0 ,1 ,0 ,-0.43
18 ,50.2 ,1 ,-1.218 ,3.188 ,0.021 ,0.475 ,0.052 ,0 ,0 ,0.43
16 ,43.635 ,1 ,-1.662 ,1.677 ,0.297 ,0.109 ,0.081 ,0 ,0 ,0.47
14 ,24.655 ,0 ,-2 ,2.954 ,0.299 ,0.03 ,0 ,0 ,1 ,0.31
22 ,41.848 ,-0.656 ,0.462 ,3.025 ,0.565 ,0.075 ,0.059 ,0 ,1 ,0.28
10 ,20.529 ,0 ,0 ,0.021 ,0.164 ,0.084 ,0 ,0 ,0 ,-0.05
