;;;;;;;
;;;;piPC03      ;1;;
;;;;piPC05;3;;
;;;;;;;
;;;;;;;
;;;;Pol;1;;
;;;;PW3;1;;
;;;;PW4;1;;
;;;;Qindex;1;;
;;;;Qmean       ;1;;
;;;;Qneg        ;3;;
;;;;;;;
;;;;;;;
;;;;QXXv      ;3;;
;;;;;;;
;;;;;;;
;;;;QYYv        ;3;;
;;;;;;;
;;;;;;;
;;;;QZZm        ;3;;
;;;;;;;
;;;;;;;
;;;;QZZv;1;;
;;;;R2e+        ;3;;
;;;;;;;
;;;;R2e+        ;;;
;;;;R2u         ;3;;
;;;;;;;
;;;;;;;
;;;;R2u+        ;1;;
;;;;R3e         ;1;;
;;;;R4e+      ;1;;
;;;;R5u+        ;3;;
;;;;;;;
;;;;;;;
;;;;R7e+        ;3;;
;;;;;;;
;;;;;;;
;;;;R7p         ;3;;
;;;;;;;
;;;;;;;
;;;;R7p+        ;1;;
;;;;R8u       ;1;;
;;;;R8v         ;3;;
;;;;;;;
;;;;;;;
;;;;RBN;1;;
;;;;RCI       ;3;;
;;;;;;;
;;;;;;;
;;;;RCON        ;1;;
;;;;RDF015p     ;1;;
;;;;RDF015v;1;;
;;;;RDF020e;1;;
;;;;RDF020p     ;3;;
